Song Title,Artist,SBP Song Name,Key,Lead Vocals,Dale Guitar,Feel,Crowd Knows,Discriminator #1,Discriminator #2,Club Rating,BPM,Runtime,Popularity,Danceability,Energy
PLEASE PLEASE BABY           ,Dwight Yoakam,Please Please Baby,E,Dale,Acoustic,Up,Yes,Classic Country,Swing,5,166,3:35,39,64,77
PONCHO AND LEFTY,Willie & Merle,Pancho And Lefty,D,Merrill,Acoustic,,,Classic Country,,,123,4:48,60,69,45
SHOULD'VE BEEN A COWBOY,Toby Keith,Shouldve Been A Cowboy,G,Dale,Acoustic,Up,Yes,Classic Country,,3,133,3:31,81,62,67
Take Me Out To A Dancehall,Pat Green,Take Me Out To A Dancehall,G,Dale,Acoustic,,,Red Dirt,,,132,3:38,50,69,78
THAT AIN'T MY TRUCK,Rhett Akins,Ain't My Truck,G,Dale,Acoustic,Up,Yes,Contemporary,Set Starter,1,129,4:03,67,64,79
TROUBLE,Wade Bowen,Trouble (+1),Ab,Dale,Electric,Mid,No,Red Dirt,,7,110,3:50,20,45,58
TULSA TIME            ,Don Williams,Tulsa Time,E,Dale,Electric,Mid,Yes,Classic Country,,3,104,3:15,72,92,57
TUPELO,Jason Isbell,Tupelo,A,Merrill,Electric,,,Alt Country,,,144,4:01,51,48,42
What Am I Supposed To Do Now,Riley Green,What Am I Supposed To Do Now,D,Dale,Electric,,,Contemporary,,,75,3:44,57,53,70
What's Left Of My Heart,Reckless Kelly,What's Left Of My Heart,D,Dale,Acoustic,,,Red Dirt,,,118,2:37,22,68,87
WHEN I'M STONED  ,Jason Boland,When Im Stoned,A,Dale,Electric,Up,No,Red Dirt,"Set Starter, Set Ender",3,94,3:22,40,67,62
Whiskey Bent And Hell Bound,Hank Williams Jr.,Whiskey Bent And Hell Bound,G,Geed,Electric,,,Classic Country,,,105,3:08,69,73,71
Wish I Didnt Know Now,Toby Keith,Wish I Didnt Know Now,G,Dale,Acoustic,,,Classic Country,,,117,3:27,73,80,71
You Owe Me a Beer,Colt 46,You Owe Me a Beer,Am,Dale,Electric,Mid,No,Contemporary,,,103,4:36,1,60,78
